%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1.57E+18,871535,1.57E+18,0.528675534,-0.67114266,0.389321247,-0.1938329,0.150239279,0.679983947,0.690998407,0.23441876,-0.0442492,0.088781617,0.03823597,-0.036708258,0.089470446,1.859683396,4.177370982,5.747608923,0.579213044,-0.300004193,0.206058885,1
1.57E+18,871536,1.57E+18,0.529139478,-0.66869241,0.389171968,-0.193712107,0.1500494,0.680094294,0.69096494,0.236964759,-0.044340918,0.091999724,0.017340147,-0.014616035,0.070989081,0.735860159,2.530307413,4.085037879,0.601851327,-0.0515876,0.20199846,1
1.57E+18,871537,1.57E+18,0.529556787,-0.6663618,0.388921783,-0.193544441,0.150078854,0.680034856,0.691064021,0.227463445,-0.043508824,0.097447726,-0.003437152,-0.051987683,0.003032373,-0.487002919,1.848004535,2.95099165,0.266087918,0.038451941,0.108905068,1
1.57E+18,871538,1.57E+18,0.530061128,-0.664057962,0.388745158,-0.193301164,0.150149589,0.680098089,0.69105452,0.219409253,-0.03932248,0.085861512,0.0326209,-0.018878797,-0.012195004,0.844154984,3.95856849,4.460959934,0.546516796,-0.186095903,0.107006113,1
1.57E+18,871539,1.57E+18,0.530503689,-0.661747846,0.38857199,-0.193085477,0.150182776,0.680370999,0.690838936,0.215556903,-0.043373683,0.085195182,0.042782114,-0.040024303,0.031771524,0.656166196,4.115266025,4.943456689,0.15880081,-0.20406557,0.144723594,1
1.57E+18,871540,1.57E+18,0.530943078,-0.659461451,0.388378954,-0.192808143,0.150422676,0.680589182,0.690649262,0.213768969,-0.038571044,0.088572537,0.033316445,-0.02518801,0.070294295,1.416001964,5.080903289,6.986104088,0.633731424,-0.152380927,0.22664173,1
1.57E+18,871541,1.57E+18,0.531417381,-0.657121131,0.388177709,-0.192339073,0.15057468,0.680907411,0.690433229,0.217886147,-0.04172653,0.0873064,0.06347775,-0.020619607,0.081076716,-1.288632726,2.930687737,4.002203393,0.498211708,0.152609451,0.243412581,1
1.57E+18,871542,1.57E+18,0.531904356,-0.654834203,0.388107825,-0.19206877,0.150608568,0.680794994,0.690611919,0.214810429,-0.043910587,0.091082697,0.07647807,-0.053880351,0.062493589,-1.98382759,2.429676893,2.185572946,0.05181721,0.1333346,0.121882792,1
1.57E+18,871543,1.57E+18,0.532311291,-0.652628124,0.387943805,-0.191785324,0.150834462,0.68072106,0.690714263,0.207650751,-0.040996686,0.089735295,0.076077528,-0.014553001,-0.02712649,1.482411269,5.77517873,4.779231844,0.785304401,-0.293464234,0.148778052,1
1.57E+18,871544,1.57E+18,0.532707128,-0.650429109,0.387914791,-0.19132893,0.150790817,0.680910582,0.690663557,0.200045722,-0.037420303,0.091791839,0.068203432,-0.046996048,0.000454256,2.157762675,6.514395717,5.372656529,0.712924838,-0.185120801,0.118807564,1
1.57E+18,871545,1.57E+18,0.533094893,-0.648213058,0.387718635,-0.191075529,0.151342481,0.680969426,0.690555021,0.204567881,-0.038932161,0.090716125,0.084098392,-0.038707658,0.047424084,-0.572713686,3.560575455,3.251630404,0.089071816,0.025898669,0.226777113,1
